Frame No,Start,End,latitude,Longitude,Altitude,Speed,Distance
57,"00:01,868","00:01,901",9.365155,80.089050,123.074,3.1240998703626617,0.00033007128828398005
58,"00:01,901","00:01,935",9.365155,80.089050,123.074,3.1240998703626617,0.0
59,"00:01,935","00:01,968",9.365155,80.089050,123.074,3.1240998703626617,0.0
60,"00:01,968","00:02,001",9.365153,80.089053,123.088,3.4828149534536,0.0004196729006395014
61,"00:02,001","00:02,035",9.365153,80.089053,123.088,3.4828149534536,0.0
62,"00:02,035","00:02,068",9.365153,80.089053,123.088,3.4828149534536,0.0
63,"00:02,068","00:02,102",9.365151,80.089055,123.074,3.8418745424597094,0.0003300712902916712
64,"00:02,102","00:02,135",9.365151,80.089055,123.074,3.8418745424597094,0.0
65,"00:02,135","00:02,168",9.365151,80.089055,123.074,3.8418745424597094,0.0
66,"00:02,168","00:02,202",9.365148,80.089058,123.086,4.123105625617661,0.0004951069364112055
67,"00:02,202","00:02,235",9.365148,80.089058,123.086,4.123105625617661,0.0
68,"00:02,235","00:02,268",9.365148,80.089058,123.086,4.123105625617661,0.0
69,"00:02,268","00:02,302",9.365146,80.089061,123.071,4.4821869662029945,0.0004196729064451398
70,"00:02,302","00:02,335",9.365146,80.089061,123.071,4.4821869662029945,0.0
71,"00:02,335","00:02,369",9.365146,80.089061,123.071,4.4821869662029945,0.0
72,"00:02,369","00:02,402",9.365143,80.089065,123.087,4.780167361086848,0.0005823920410011123
73,"00:02,402","00:02,435",9.365143,80.089065,123.087,4.780167361086848,0.0
